A01:A_MAZE_ING|???: "У-ди-ви-тельно!"
A01:ABRAMS|На танках Абрамс устанавливаются две лазерные пушки, способные справиться с пехотой.
A01:AEROBLAZE|Вспышки - наши новые машины ПВО, могут быть переведены в более слабый "снайперский" режим.
A01:BRADLEY_REACHED|Задание Выполнено. Спецагент Таня добралась до остатков форта Брэдли.
A01:BRADLEY_REACHED2|Форт Брэдли переходит под ваше командование.
A01:BRIDGE_DESTROYED|Гарнизон форта взорвал мост - чтобы предотвратить продвижение советских войск. Мы должны поспешить!
A01:BRIDGE_REPAIRED|ВНИМАНИЕ - Вражеский инженер восстановил мост!
A01:BULLDOG|Бульдоги - наши основные боевые танки.\nС помощью систем лазерного наведения упрощают прицеливание союзным войскам.
A01:CAGCUG|Сытные обеды Лайлака
A01:CAMSC10|Великолепные бургеры Блэксноу
A01:CAPARS13|Превосходные Морепродукты Сиджлада
A01:CAPARS14|Величайшие гурманы G.G.I
A01:CAPTURE|Хорошая работа, Командир. Захват этой Советской базы поможет нам в будущей обороне Нью-Йорка.
A01:CAPTURE1|а также даст нам возможность проанализировать оружие Советов, как только ситуация стабилизируется.
A01:CARPUB|Отрадный Джанкфуд Джеко
A01:CASYDN02|Вкусные Тако от Топажуань
A01:CONYARD_DEFEND|Это наш последний Сборочный Цех в Нью-Йорке. Необходимо, чтобы вы сохранили его в рабочем состоянии.
A01:CONYARD_DESTROYED|Мы потеряли последний Сборочный Цех в Нью-Йорке - МИССИЯ ПРОВАЛЕНА
A01:CORNERED|Советские войска окружили нас. Они идут со всех направлений!
A01:CORNERED_TIMER|Выжить:
A01:CORNERED2|ТАНЯ: "Если этот форт падет, нам конец."
A01:CORNERED3|ТАНЯ: "Мы должны удержать эту позицию, прямо здесь и прямо сейчас!"
A01:CORNERED4|Атаки ослабевают. У нас есть возможность нанести ответный удар. Уничтожьте или захватите советскую базу!
A01:DATE|- Нью-Йорк, 22-ое марта 1970 года -
A01:DOGS|Боевые Псы хорошие разведчики и борцы с пехотой. Они также могут выслеживать вражеских шпионов.
A01:GGI|Гвардейцы - это наша противовоздушная и противотанковая пехота.\nКак и обычные солдаты, они могут развертываться.
A01:GI|Солдаты - это наша основная пехота.\nОни могут развертываться для ведения более плотного огня и повышения живучести.
