LOADMSG:FASHES|Операция: Пепел, Место: Казахстан
LOADBRIEF:FASHES|Задача 1: Захватить Цитадель Пандоры.\nЗадача 2: Уничтожить Усилитель Контроля Разума.
FASHES:01|Из-за господства Советского Союза над миром, мир снова в разгаре войны.
FASHES:02|Хотя Советский Союз породил силы Эпсилон, все не так просто.
FASHES:03|Недавно Советы совершили налет на нашу исследовательскую базу в Синьцзяне и уничтожили наши Наноцентрифуги.
FASHES:05|Конечно, управление ими, это часть их плана.
FASHES:07|Из-за техник Пси-Корпуса "мы" не смогли получить его координаты, но эта Цитадель Пандоры хранит их.
FASHES:08|В вашем распоряжении лишь это подразделение. Когда вы захватите "Цитадель Пандоры", будет оправлена помощь.
FASHES:09|Защищайте "Инженера", миссия будет провалена, если он умрет. Старайтесь обходить врага.
FASHES:11|Вражеские подкрепления прибудут через:
FASHES:12|В этом районе есть несколько плененных китайских войск. Они помогут вам в борьбе.
FASHES:13|Мы послали вам 2 "Дронов Ужаса" в качестве подкрепления.
FASHES:14|Это похоже на заброшенный пункт спасения беженцев. Здесь у врага может быть засада.
FASHES:15|Не пытайтесь бороться с врагом. Старайтесь держаться подальше от него.
FASHES:16|Держитесь в тени. В противном случае весь план потерпит неудачу.
FASHES:17|Пси-Башня! Берегитесь контроля разума!
FASHES:20|Инженер мертв... МИССИЯ ПРОВАЛЕНА.
FASHES:21|Проникновение в Цитадель Пандоры было завершено. Загрузка данных...
FASHES:22|Это здесь ... ах, Усилитель активирован!
FASHES:23|Ваше подкрепление прибыло.
FASHES:24|Время до полной зарядки Усилителя Контроля Разума:
FASHES:25|Предупреждение: Усилитель активирован. МИССИЯ ПРОВАЛЕНА.
FASHES:26|Усилитель был разрушен. Теперь мы можем наконец вздохнуть с облегчением.
FASHES:27|Похоже мы привлекли много внимания!
FASHES:OBJ01|Задача 1: Захватить Цитадель Пандоры.
FASHES:OBJ02|Задача 2: Уничтожить Усилитель Контроля Разума.
FASHES:18|Это место очень хорошо защищается от врага.
FASHES:19|Мы не можем пройти здесь. Ищите другой путь.
FASHES:10|Здесь есть база. Усилитель может быть здесь, но вы все равно должны сначала подтвердить это.
POST:FASHES|...
MAP:FASHES|Фанатская Миссия - Пепел
BRIEF:FASHES|Силы Эпсилон построили Усилитель Контроля Разума в пустыне Казахстана и Юнру очень волнуется, что он будет контролировать базу в Кашмире. Небольшой команде было приказано отправиться на расследование, но из-за технологии, блокирующей разум, эта команда не смогла найти конкретное местоположение усилителя. Но разведывательная информация, которую они принесли, показала, что местонахождение ракеты-носителя было сохранено в Цитадели Пандоры на небольшой базе Эпсилон, недалеко от ракеты-носителя. Члены отряда решили проникнуть на базу, чтобы найти координаты усилителя.\n\nЗадача 1: Захватить Цитадель Пандоры.\nЗадача 2: Уничтожить Усилитель Контроля Разума.
FASHES:04|Похоже им основательно промыли мозги.
MISSION:MFPREFIX|События этой миссии происходят после завершения второго акта.
