THEME:INTRO|Intro
THEME:MADRAP|Hell March
THEME:DEFENSE|Defense
THEME:HEROISM|Heroism
THEME:LONETROOP|Lone Troop
THEME:NODCRUSH|Crush
THEME:PHAROTEK|Pharotek
THEME:SCOUT|Scout
THEME:SCORESCREEN|Score Screen
THEME:MAPSELECTION|Map Selection
THEME:IONSTORMAMBIENT|Ion Storm Ambient
DESC:E31|Demo Map
MSG:PINGINFO|Задержка = %dms
MSG:CRITICAL|при смерти
MSG:HEAVILYDAMAGED|тяжело поврежденный
MSG:HEALTHY|здоровый
MSG:MIXED|Смешанных
MSG:ELITE|Элита
MSG:VETERAN|Ветеран
MSG:LITTLEEXPERIENCE|Новичок
MSG:CANNOTCREATECHANNEL|Нельзя создать канал здесь
MSG:UNABLEMAPSELECT|Невозможно выбрать карту! \n
MSG:NODESCRIPTION|Нет Описания
MSG:NOTHINGSELECTED|Ничего не выбрано
MSG:SELACROSSMAP|Выбрано в пределах КАРТЫ
MSG:SELACROSSSCREEN|Выбрано в пределах ЭКРАНА
MSG:NAVEMPTY|Ничего не выбрано!
MSG:NOUNITSSEL|Боевых единиц типа "%s" не выбрано
MSG:UNITSWORTH|Выбрано %d шт. боевых единиц типа "%s" на сумму $%d
MSG:BLACKOUTTIMER|Энергия отключена на:
GUI:GAMEOPTIONS|Настройки Игры
GUI:SAVEMISSIONMENU|Сохранить Игру
GUI:SAVEMISSION|Сохранить Игру
GUI:DELETEMISSIONMENU|Удалить Игру
GUI:DELETEMISSION|Удалить Игру
GUI:USEMAP|Использовать
GUI:GENERATEMAP|Создать Карту
GUI:TOOLTIP|Подсказки
GUI:SINGLEPLAYER|Одиночная Игра
GUI:WWONLINE|Интернет
GUI:NETWORK|Локальная сеть
GUI:OPTIONS|Настройки
GUI:EXITGAME|Выход
GUI:PREFERENCES|Свойства
GUI:SNEAKPEEKS|Анонс
GUI:PLAYMOVIES|Видеоролики
GUI:VIEWCREDITS|Создатели
GUI:NEWCAMPAIGN|Новая Кампания
GUI:LOADSAVEDGAME|Загрузить Игру
GUI:REPLAYSCENARIO|Переиграть
GUI:SKIRMISH|Схватка
GUI:BACK|Назад
GUI:STARTGAME|Начать Игру
GUI:SINGLEPLAYERMENU|Один Игрок
GUI:OPTIONSMENU|Настройки
GUI:SKIRMISHGAME|Схватка
GUI:CHOOSEMAP|Выбор Карты
GUI:MCVREPACKS|Переупаковка МСЦ
GUI:SHORTGAME|Быстрая игра
GUI:CRATESAPPEAR|Ящики
GUI:COUNTRY|Страна
GUI:COLOR|Цвет
GUI:SLOWEST|Как черепаха
GUI:SLOWER|Оч. медленно
GUI:SLOW|Медленно
GUI:NORMAL|Нормально
GUI:FAST|Быстро
GUI:FASTER|Оч. быстро
GUI:FASTEST|Мгновенно
GUI:LOW|Мало
GUI:MEDIUM|Средне
GUI:HIGH|Высоко
GUI:NONE|Пусто
GUI:AI|Компьютер
GUI:RANDOM|Случайно
GUI:CANCEL|Отмена
GUI:OK|ОК
GUI:ASKABORTMISSION|Что вы хотите сделать?
GUI:DELETE|Удалить
GUI:DESCRIPTION|Пояснение
GUI:TIMESTAMP|Время
GUI:LOAD|Загрузить
GUI:DIFFICULTY|Сложность
GUI:HARDER|Harder
GUI:SELECTCAMPAIGN|Выбор кампании
GUI:ALLIEDCAMPAIGN|Кампания союзников
GUI:TUTORIALCAMPAIGN|Обучающий лагерь
GUI:SOVIETCAMPAIGN|Советская кампания
GUI:SELECTMISSION|Выбор миссии
GUI:RESTART|Переиграть
GUI:ABORT|Прервать
GUI:PROGRESS|Прогресс
GUI:CONFIRMMODECHANGE|Нажмите ОК, чтобы принять этот режим экрана или подождите пока восстановятся старые настройки.
GUI:ASSIGN|Принять
GUI:CUSTOMIZEKEYBOARD|Настройка Клавиш
GUI:CUSTOM|Другое
GUI:CATEGORY|Категория
GUI:COMMANDS|Команды
GUI:PRESSSHORTCUT|Новая клавиша
GUI:CURASSIGNEDTO|Используется командой:
GUI:CURRENTSHORTCUT|Горячая клавиша
GUI:RESETALL|Восстановить
GUI:DISPLAYOPTIONS|Настройки Экрана
GUI:DISPLAY|Экран
GUI:RESOLUTIONMODES|Разрешения
GUI:STRETCHFIT|Растягивать видео
GUI:PROCEED|Применить
GUI:GAMESPEED|Скорость игры
GUI:SCROLLRATE|Прокрутка
GUI:VISUALDETAILS|Детализация
GUI:HIGHERDETAIL|Высокие
GUI:SIDEBARTEXT|Текст на панели
GUI:TOOLTIPS|Подсказки
GUI:TARGETLINES|Линии нацеливания
GUI:SHOWHIDDEN|Скрытые объекты
GUI:SCROLLCOASTING|Плавная прокрутка
GUI:SOUND|Звук
GUI:KEYBOARDOPTIONS|Настройки Клавиатуры
GUI:KEYBOARD|Клавиатура
GUI:CAMPAIGNMENU|Кампания
GUI:LOADMISSIONMENU|Загрузить миссию
GUI:CAMEOTEXT|Текст на панели
GUI:MAINMENU|Главное Меню
GUI:ALLIES|Союзники
GUI:SOVIETS|Советские
GUI:UNITS|Подразделения
GUI:KILLED|Убито
GUI:MADE|Сделано
GUI:BUILDINGS|Здания
GUI:ECONOMY|Экономия
GUI:HARVESTED|Собрано
GUI:SPENT|Затрачено
GUI:GAMESETTINGS|Параметры игры
GUI:ENVIRONMENT|Тип территории
GUI:THEATER|Климат
GUI:MAPSIZE|Размер карты
GUI:RESOURCES|Ресурсы
GUI:TIMEOFDAY|Время суток
GUI:PLAYERS|Игроки
GUI:CLIFFS|Скалы и горы
GUI:ACCESSABILITY|Доступно
GUI:HILLS|Холмы
GUI:TIBERIUMAMOUNT|Кол-во руды
GUI:TIBERIUMFIELDS|Поля руды
GUI:WATER|Вода
GUI:VEGETATION|Растительность
GUI:CITIES|Города
GUI:MAPWIDTH|Ширина карты
GUI:MAPHEIGHT|Высота карты
GUI:SURPRISEME|Случайно
GUI:PREVIEWMAP|Создать карту
GUI:PREVIEW|Предпросмотр
GUI:SAVEMAP|Сохранить карту
GUI:LOADMAP|Загрузить карту
GUI:SAVE|Сохранить
GUI:NAME|Имя
GUI:SIDE|Сторона
GUI:OPPONENT|Оппонент
GUI:MAP|Карта
GUI:TECHLEVEL|Тех уровень
GUI:CREDITS|Наличные
GUI:UNITCOUNT|Подразделения
GUI:AIPLAYERS|Компьютер
GUI:AILEVEL|Уровень умений ИИ
GUI:MULTIENGINEER|Много инженеров
GUI:ACCEPT|Применить
GUI:MULTIPLAYERMAP|Сетевая карта
GUI:SELECTMULTIPLAYERGAME|Выбор сетевой игры
GUI:SELECTENGAGEMENT|Выбор Поля Боя
GUI:GAMETYPE|Тип Битвы
GUI:GAMEMAP|Поле Боя
GUI:INTERNET|Интернет
GUI:MODEMSERIAL|Модем / Порт
GUI:IPXOPTIONS|Настройки IPX
GUI:NETWORKCARD|Сетевая карта
GUI:SOCKETNUMBER|Номер сокета
GUI:DESTINATIONNETWORK|Расположение сети
GUI:YOURSIDE|Ваша Сторона
GUI:YOURCOLOR|Ваш Цвет
GUI:KICKUSER|Выгнать пользователя из вашей игры
GUI:YOURNAME|Ваше имя
GUI:GAMES|Игры
GUI:JOIN|Присоединиться
GUI:NEW|Создать Игру
GUI:GAMECONTROLS|Настройки Игры
GUI:RESTATEBRIEFING|Повторить Задание
GUI:LOADGAME|Загрузить Игру
GUI:SAVEGAME|Сохранить Игру
GUI:DELETEGAME|Удалить Игру
GUI:DELETEMAP|Удалить Карту
GUI:ABORTMISSION|Прервать Миссию
GUI:RESUMEMISSION|Вернуться
GUI:RESUME|Вернуться
GUI:HOSTSCREEN|Меню Сервера
GUI:JOINSCREEN|Меню Гостя
GUI:LOBBY|Прихожая
GUI:GAMENUMBER|Номер игры
GUI:TIME|Время
GUI:LOSSES|Потерь
GUI:BUILT|Создано
GUI:SCORE|Очки
GUI:INTERNETGAMECONTROLS|Настройки Интернет игры
GUI:CONNECTION|Соединение
GUI:BETTER|Лучшее
GUI:ADD|Добавить
GUI:EDIT|Редактировать
GUI:PHONENUMBER|Номер телефона
GUI:DIAL|Звонить
GUI:PHONELIST|Список телефонов
GUI:PHONEBOOKENTRY|Телефонная книга пуста
GUI:NUMBER|Номер
GUI:DEFAULT|По умолчанию
GUI:SETTINGS|Настройки
GUI:WORKINGPLEASEWAIT|Создание... - пожалуйста, подождите
GUI:PLAYER1|Игрок 1
GUI:PLAYER2|Игрок 2
GUI:PLAYER3|Игрок 3
GUI:PLAYER4|Игрок 4
GUI:PLAYER5|Игрок 5
GUI:PLAYER6|Игрок 6
GUI:PLAYER7|Игрок 7
GUI:PLAYER8|Игрок 8
GUI:BATTLE|Битва
GUI:FREEFORALL|Каждый сам за себя
GUI:UNHOLYALLIANCE|Неестественный союз
GUI:MEGAWEALTH|Сверх богатство
GUI:SIEGE|Осада
GUI:TIMEREMAINING|Осталось времени:
GUI:CREATERANDOMMAP|Создать карту
GUI:IPXLAN|IPX (Сеть)
GUI:UDPINTERNET|UDP (Интернет)
GUI:ANSWER|Отвечать
GUI:NULLMODEM|Нуль модем
GUI:PORT|Порт
GUI:BAUD|Бод
GUI:SERIALSETTINGS|Параметры порта
GUI:CALLWAITING|Ожидание звонка
GUI:PULSEDIAL|Импульсный режим
GUI:TONEDIAL|Тональный режим
GUI:ERRORCORRECTION|Исправление ошибок
GUI:DATACOMPRESSION|Сжатие данных
GUI:INITSTRING|Строка инициализации
GUI:MULTIPLAYMAP|Сетевая карта
GUI:MUSICVOLUME|Громкость музыки
GUI:SOUNDVOLUME|Громкость звука
GUI:VOICEVOLUME|Громкость голоса
GUI:PLAY|Играть
GUI:STOP|Стоп
GUI:SHUFFLE|Случайно
GUI:REPEAT|Повторять
GUI:GETWOLACCOUNT|Получить уч. запись Westwood Online
GUI:BIRTHDATE|День рождения
GUI:EMAILADDRESS|Эл. почта: (Пожалуйста, дважды щелкните здесь!)
GUI:GETNEWSLETTER|Я хочу получать информационные письма от Westwood Online по эл. почте.
GUI:VIEWPRIVACY|Полис секретности
GUI:CONTINUE|Продолжить
GUI:DOWNLOADINGPATCH|Скачивание заплатки
GUI:MAXPLAYERS|Максимум игроков
GUI:MIN|Минимум
GUI:MAX|Максимум
GUI:MAXPING|Максимальная задержка с сервером
GUI:TOURNAMENT|Турнир
GUI:BATTLECLAN|Боевой клан
GUI:LADDERRANKHOST|Звание доски почета сервера
GUI:OFFICIAL|Официально
GUI:STANDARD|Стандартно
GUI:SELECTEDGAMEDETAILS|Выбор детализации игры
GUI:SHOWALL|Показать все
GUI:REFRESHCHANNELLIST|Обновить список каналов
GUI:PERSONTOFIND|Игрок для поиска или страничка:
GUI:TEXTTOSEND|Текст для отправки
GUI:FIND|Найти
GUI:PAGE|Страничка друга
GUI:PAGECLAN|Страничка клана
GUI:LADDER|Доска почета
GUI:FINDORPAGE|Найти/Страничка
GUI:KICK|Выгнать
GUI:CLOSE|Закрыть
GUI:BAN|Запрет
GUI:HELP|Помощь
GUI:HOSTOPTIONS|Настройки Сервера
GUI:SEARCH|Поиск
GUI:RANK|Звание
GUI:POINTS|Очки
GUI:NUMBERWINS|Победы
GUI:NUMBERLOSSES|Поражения
GUI:NUMBERDISCONNECTS|Отключения
GUI:PLAYERTOURWEB|Страничка игрока турнира
GUI:BATTOURWEB|Страничка турнира среди кланов
GUI:<BACK|< Назад
GUI:NEXT>|Далее >
GUI:NICKNAME|Имя
GUI:PASSWORD|Пароль
GUI:LOCATION|Местоположение
GUI:UNKNOWN|Неизвестно
GUI:SETLOCATION|Настроить местоположение
GUI:STORELOGIN|Сохранить уч. запись
GUI:NEWACCOUNT|Новая уч. запись
GUI:USERS|Пользователи
GUI:UP|Вверх
GUI:DOWN|Вниз
GUI:ACTIONMESSAGE|Активное сообщение
GUI:REFRESHCHANNELS|Обновить каналы
GUI:FINDAGAME|Найти игру
GUI:VIEWTOURLADDER|Просмотр доски почета турнира
GUI:GOBATWEB|Перейти на страничку боевого клана
GUI:FINDORPAGEANOTHER|Найти/Страничка другого пользователя
GUI:WOLOPTIONS|Настройки
GUI:IGNOREUSER|Игнорировать пользователя
GUI:KICKUSERFROMCHANNEL|Выгнать пользователя из Вашего канала
GUI:BANUSERFROMCHANNEL|Запретить пользователю заходить в Ваш канал
GUI:CREATENEWCHAN|Создать новый канал для чата:
GUI:BATTLECLANTOURNAMENT|Турнир среди кланов
GUI:YOURLOCATION|Ваше местоположение
GUI:MINPASSWORDLEN|Ваш пароль должен быть больше 8 символов.
GUI:RE-ENTERPASSWORD|Повторный ввод пароля:
GUI:PARENTEMAIL|Элект. адрес родителей:
GUI:SHAREINFO|Да, EA/Westwood могут информировать меня о новых продуктах и спец. предложениях.
GUI:ALLOWPAGES|Разрешить входящие страницы
GUI:FILTERBADLAN|Фильтр матов
GUI:ALLOWFINDING|Разрешить находить меня
GUI:PLAYMUSIC|Играть музыку
GUI:SHOWALLINLOBBY|Показывать все игры в моей комнате ожидания
GUI:SOUNDOPTIONS|Настройки Звука
GUI:CHANNELPASSWORD|Пароль канала
GUI:AVAILABLESERVERS|Доступные серверы
GUI:WAITINGRESP|Ожидание ответа
GUI:DISCONNECT|Отсоединить
GUI:NO|Нет
GUI:YES|Да
GUI:PLAYER|Игрок
GUI:LISTENERS|Зрители
GUI:KILLS|Убито
GUI:RETURN|Вернуться
GUI:BRIEFING|Задание
GUI:LEAVEGAME|Выйти из игры
GUI:BLANK|
GUI:OPEN|Открыто
GUI:CLOSED|Закрыто
GUI:WAITING|Ожидание...
ERROR:NAMEISRESERVEDWORD|You have chosen a reserved word as your name! Please choose another.
ERROR:CANNOTMAP|Error! Command needs this modifier(s).
ERROR:CANNOTREMAP|Error! Remap base key first.
STT:MAINBUTTONSINGLEPLAYER|Играть в историческую кампанию или в схватку с компьютером.
STT:MAINBUTTONWWONLINE|Играть через всемирную сеть Интернет.
STT:MAINBUTTONNETWORK|Играть по локальной сети с друзьями.
STT:MAINBUTTONOPTIONS|Настроить управление, звук, отображение и сложность.
STT:MAINBUTTONEXITGAME|Выйти из игры Красная угроза 2: Месть Юрия.
STT:SINGLEBUTTONNEWCAMPAIGN|Начать прохождение одной из исторических кампаний.
STT:SINGLEBUTTONLOADSAVEDGAME|Загрузить прежде сохраненную игру.
STT:SINGLEBUTTONREPLAYSCENARIO|Переиграть миссию.
STT:SINGLEBUTTONSKIRMISH|Играть против компьютера один-на-один.
STT:SINGLEBUTTONBACK|Вернуться в главное меню.
STT:CAMPAIGNANIMALLIED|Играть в историческую кампанию союзников.
STT:CAMPAIGNANIMTUTORIAL|Играть в обучающую кампанию.
STT:CAMPAIGNANIMSOVIET|Играть в советскую историческую кампанию.
STT:CAMPAIGNSLIDERDIFFICULTY|Выбор уровня сложности в кампании.
STT:CAMPAIGNBUTTONLOAD|Загрузить выбранную миссию.
STT:CAMPAIGNLIST|Щелкните по миссии, в которую хотите играть.
STT:CAMPAIGNBUTTONBACK|Вернуться в меню одного игрока.
STT:LOADBUTTONLOAD|Загрузить выбранную сохраненную игру.
STT:LOADLIST|Список игр доступных для загрузки.
STT:LOADBUTTONBACK|Вернуться в предыдущее меню.
STT:SKIRMISHEDITPLAYER|Введите здесь свое имя.
STT:SKIRMISHCOMBOAIPLAYER|Добавить оппонента.
STT:SKIRMISHPICTUREFLAG|Национальный флаг игрока.
STT:SKIRMISHCOMBOCOUNTRY|Изменить национальность.
STT:SKIRMISHCOMBOCOLOR|Изменить цвет.
STT:SKIRMISHSLIDERSPEED|Настроить скорость подразделений и время постройки.
STT:SKIRMISHSLIDERCREDITS|Настроить количество наличных финансов в начале игры.
STT:SKIRMISHSLIDERTECH|Настроить максимальный технологический уровень в игре.
STT:SKIRMISHSLIDERUNIT|Настроить количество подразделений в начале игры.
STT:SKIRMISHBUTTONCHOOSEMAP|Настроить тип битвы и поле боя.
STT:SKIRMISHCBOXREDEPLOYS|Сборочные Цеха могут быть свернуты обратно в МСЦ.
STT:SKIRMISHCBOXSHORTGAME|Игроки выиграют когда все вражеские постройки будут уничтожены.
STT:SKIRMISHCBOXCRATES|На карте появляются ящики с сюрпризами.
STT:SKIRMISHMAPTHUMBNAIL|Картинка со спутника над выбранным полем боя.
STT:SKIRMISHLABELGAMETYPE|Название выбранного типа игры.
STT:SKIRMISHLABELSCENARIO|Название выбранного поля боя.
STT:SKIRMISHSLIDERAIDIFFICULTY|Настроить уровень умений компьютерных игроков.
STT:SKIRMISHBUTTONSTARTGAME|Начать игру с выбранными вами настройками.
STT:SKIRMISHBUTTONBACK|Вернуться в предыдущее меню.
STT:LOBBYEDITYOURNAME|Введите здесь свое имя.
STT:LOBBYLISTUSERS|Игроки, находящиеся в выбранной вами игре.
STT:LOBBYLISTGAMES|Вы можете присоединиться к игре.
STT:LOBBYEDITOUTPUT|Здесь показаны сообщения от других игроков.
