DESC:ABLUT|Blut Royale (A)
DESC:ABUGGY|Attack on Buggy (A)
DESC:AENFO|Enforcers (A)
DESC:AMONSTER|Mad Monster (A)
DESC:APWAR|Impersonal War (A)
DESC:ASARIN|Good Old Times (A)
DESC:CANNIS01|Switchback Ravine (2)
DESC:CANNIS02|Switchback Ridge (2)
DESC:CANNIS03|OverExtended (2)
DESC:CANNIS04|Frigid Triangle (2-3)
DESC:CANNIS04X|Frigid Triangle (2vs1)
DESC:CANNIS07|Field & Stream (2-6)
DESC:CANNIS08|Amazon Assault (2-6)
DESC:CANNIS09|Sunstroke (2-4)
DESC:CANNIS10|Moonlit Bay (2-4)
DESC:CANNIS11|Gem Pit II (2-4)
DESC:CANNIS12|FreezeOut (2-6)
DESC:CANNIS13|OutGrowth (2-8)
DESC:CANNIS14|Inversion (2-4)
DESC:CANNIS15Y|Stacked Odds (6vs1)
DESC:CANNIS16|CrissCross (2-4)
DESC:CAPMEL03|Total Destruction (2-4)
DESC:CRBLWS01|Dueling Islands (2)
DESC:CUSTOM|========  Свои Карты  ==========
DESC:ECOR|Cornered (E)
DESC:ELIES|Television Lies (E)
DESC:EPAIN|Brain Reset (E)
DESC:ERAIN|Rainmaker (E)
DESC:ERETAL|Retaliation (E)
DESC:ERUSH|Rush Tactics (E)
DESC:F32|Top o'the Hill (2vs1)
DESC:F54|Lonely Island (4vs1)
DESC:MIR4DR01|Quarterpounder (2-4)
DESC:MIR4DR02|War Paint (2-4)
DESC:MIR4DR03|4 Pack (2-4)
DESC:MIR4DR05|Scars (2-4)
DESC:MIR4DR06|Snowdog (2-6)
DESC:MIR4DR07|Subdivisions (2-8)
DESC:MIR4DR08|Bacchus Plateau (2-8)
DESC:MIR4DR10|Six Holes (2-6)
DESC:MIR4DR11|Passing the 5th Side (2-5)
DESC:MO201|City Delta (2)
DESC:MO202|Delta Duel (2)
DESC:MO203|Sunset Vista (2)
DESC:MO204|Perseco Terra (2)
DESC:MO205|Fire Island (2)
DESC:MO206|Couplet (2)
DESC:MO207|Cloud Nine (2)
DESC:MO208|River Rampage (2)
DESC:MO209|Cabana Republic (2)
DESC:MO210|Glacier Gorge (2)
DESC:MO211|Cape Fear (2)
DESC:MO212|Tournament Decision (2)
DESC:MO213|Serpentine (2)
DESC:MO214|Pig Race Isle (2)
DESC:MO215|Baltic Arena (2)
DESC:MO216|Roselake Redux (2)
DESC:MO217|Snow Plow (2)
DESC:MO218|Drought (2)
DESC:MO219|Industrial Strength (2)
DESC:MO220|Urban Pipeline (2)
DESC:MO221|Fractured (2)
DESC:MO222|Turtle Village (2)
DESC:MO223|Twisted Malice (2)
DESC:MO224|Small Town USA (2)
DESC:MO225|Arden River (2)
DESC:MO226|Infinity Isle (2)
DESC:MO227|Saint and Sinner (2)
DESC:MO228|Amazonas Delta (2)
DESC:MO229|Little Big Bay (2)
DESC:MO231|Predator Instinct (2)
DESC:MO232|Bay War (2)
DESC:MO233|Grinder Ravine (2)
DESC:MO234|Blistering Red Sands (2)
DESC:MO235|Cold Winter (2)
DESC:MO236|Sand Snakes (2)
DESC:MO237|Impact Crater (2)
DESC:MO238|Asvetia Cliffs (2)
DESC:MO239|Loud Kingdom (2)
DESC:MO240|Dune Shredder (2)
DESC:MO241|Stand Off (2)
DESC:MO242|Moonlit Waters (2)
DESC:MO243|Oasis Trouble (2)
DESC:MO244|Jungle Basin (2)
DESC:MO245|Winteryear (2)
DESC:MO248|Heatstroke (2)
DESC:MO249|Paradise Lost (2)
DESC:MO302|Paradox Spiral (2-3)
DESC:MO303|Caldera of Chaos (2-3)
DESC:MO304|Yelcraz Lagoon (2-3)
DESC:MO305|Triple Threat (2-3)
DESC:MO305X|Triple Threat (2vs1)
DESC:MO306|Arch La Indigo (2-3)
DESC:MO307|Pyroclasm (2-3)
DESC:MO308|Dam (2-3)
DESC:MO309|Silver River (2-3)
